,Year,AQI
0,1971,29.473214285714285
1,1972,25.860806451612905
2,1973,26.41481952598391
3,1974,47.145203966505335
4,1975,42.04951574725749
5,1976,31.725177823845854
6,1977,31.301020155643446
7,1978,42.26432920200043
8,1979,27.92876712328767
9,1980,29.78425058548009
10,1981,28.69058708414873
11,1982,29.533810611002394
12,1983,35.351065449010655
13,1984,27.846316896521813
14,1985,31.44670797999565
15,1986,29.399353120243532
16,1987,27.911491628614918
17,1988,32.72096994535519
18,1989,29.028576864535765
19,1990,27.631400304414004
20,1991,29.178993951254224
21,1992,25.35202404608142
22,1993,23.71986301369863
23,1994,25.36105092016051
24,1995,23.387028504220282
25,1996,25.346285256940995
26,1997,29.987183478621837
27,1998,35.711160034790176
28,1999,36.21937752954908
29,2000,36.95761378265409
30,2001,40.414361005818
31,2002,35.28364224176941
32,2003,34.02569980654783
33,2004,30.59366033760951
34,2005,32.65735831655719
35,2006,31.926302099845994
36,2007,30.274423424945052
37,2008,29.72998406085203
38,2009,31.430586582548035
39,2010,33.7924794661592
40,2011,36.94709664219297
41,2012,38.422349782480765
42,2013,35.192436183369104
43,2014,36.77965472376432
44,2015,33.6491857204186
45,2016,33.523813236449854
46,2017,35.21729651373487
47,2018,34.62168297455968
48,2019,33.555424005218526
49,2020,33.10597731806748
50,2021,38.388649706457926
51,2022,40.44119699934768
52,2023,42.35299921073402
