,Date,AQI,Sample_Duration,Pollutant_Type
0,1986-08-12,48,24 HOUR,81102
1,1986-08-18,25,24 HOUR,81102
2,1986-08-24,30,24 HOUR,81102
3,1986-08-30,28,24 HOUR,81102
4,1986-09-05,30,24 HOUR,81102
5,1986-09-11,19,24 HOUR,81102
6,1986-09-17,30,24 HOUR,81102
7,1986-09-23,45,24 HOUR,81102
8,1986-09-29,13,24 HOUR,81102
9,1986-10-05,16,24 HOUR,81102
10,1986-10-11,11,24 HOUR,81102
11,1986-10-17,29,24 HOUR,81102
12,1986-10-23,23,24 HOUR,81102
13,1986-10-29,21,24 HOUR,81102
14,1986-11-04,6,24 HOUR,81102
15,1986-11-10,10,24 HOUR,81102
16,1986-11-16,41,24 HOUR,81102
17,1986-11-22,20,24 HOUR,81102
18,1986-11-28,35,24 HOUR,81102
19,1986-12-04,25,24 HOUR,81102
20,1986-12-10,17,24 HOUR,81102
21,1986-12-16,33,24 HOUR,81102
22,1986-12-22,35,24 HOUR,81102
23,1986-12-28,21,24 HOUR,81102
24,1987-04-09,39,24 HOUR,81102
25,1987-04-15,20,24 HOUR,81102
26,1987-09-06,38,24 HOUR,81102
27,1987-09-12,6,24 HOUR,81102
28,1987-09-18,33,24 HOUR,81102
29,1987-09-24,27,24 HOUR,81102
30,1987-10-06,40,24 HOUR,81102
31,1987-10-12,57,24 HOUR,81102
32,1987-10-24,29,24 HOUR,81102
33,1987-10-30,36,24 HOUR,81102
34,1987-11-05,20,24 HOUR,81102
35,1987-11-11,37,24 HOUR,81102
36,1987-11-17,10,24 HOUR,81102
37,1987-11-29,9,24 HOUR,81102
38,1987-12-05,28,24 HOUR,81102
39,1987-12-11,28,24 HOUR,81102
40,1987-12-23,28,24 HOUR,81102
41,1987-12-29,16,24 HOUR,81102
42,1987-01-03,8,24 HOUR,81102
43,1987-01-09,8,24 HOUR,81102
44,1987-01-15,6,24 HOUR,81102
45,1987-01-21,25,24 HOUR,81102
46,1987-01-27,36,24 HOUR,81102
47,1987-02-02,43,24 HOUR,81102
48,1987-02-14,12,24 HOUR,81102
49,1987-02-20,32,24 HOUR,81102
50,1987-02-26,17,24 HOUR,81102
51,1987-03-10,22,24 HOUR,81102
52,1987-03-22,19,24 HOUR,81102
53,1987-03-28,12,24 HOUR,81102
54,1988-11-17,19,24 HOUR,81102
55,1988-11-23,23,24 HOUR,81102
56,1988-11-29,22,24 HOUR,81102
57,1988-12-05,28,24 HOUR,81102
58,1988-01-04,23,24 HOUR,81102
59,1988-01-10,47,24 HOUR,81102
60,1988-01-16,23,24 HOUR,81102
61,1988-01-22,25,24 HOUR,81102
62,1988-01-28,53,24 HOUR,81102
63,1988-02-03,16,24 HOUR,81102
64,1988-02-09,17,24 HOUR,81102
65,1988-02-15,22,24 HOUR,81102
66,1988-02-21,14,24 HOUR,81102
67,1988-02-27,21,24 HOUR,81102
68,1988-03-04,26,24 HOUR,81102
69,1988-03-10,19,24 HOUR,81102
70,1988-03-16,19,24 HOUR,81102
71,1988-03-22,51,24 HOUR,81102
72,1988-03-28,45,24 HOUR,81102
73,1988-04-03,11,24 HOUR,81102
74,1988-04-09,10,24 HOUR,81102
75,1988-04-15,34,24 HOUR,81102
76,1988-04-21,44,24 HOUR,81102
77,1988-04-27,14,24 HOUR,81102
78,1988-05-03,24,24 HOUR,81102
79,1988-05-09,33,24 HOUR,81102
80,1988-05-15,30,24 HOUR,81102
81,1988-05-27,53,24 HOUR,81102
82,1988-06-02,15,24 HOUR,81102
83,1988-06-08,53,24 HOUR,81102
84,1988-06-14,59,24 HOUR,81102
85,1988-06-20,56,24 HOUR,81102
86,1988-06-26,35,24 HOUR,81102
87,1988-07-02,20,24 HOUR,81102
88,1988-07-08,30,24 HOUR,81102
89,1988-07-14,56,24 HOUR,81102
90,1988-07-20,17,24 HOUR,81102
91,1988-07-26,29,24 HOUR,81102
92,1988-08-01,19,24 HOUR,81102
93,1988-08-19,32,24 HOUR,81102
94,1988-08-25,34,24 HOUR,81102
95,1988-08-31,45,24 HOUR,81102
96,1988-09-06,22,24 HOUR,81102
97,1988-09-12,54,24 HOUR,81102
98,1988-09-18,14,24 HOUR,81102
99,1988-09-24,13,24 HOUR,81102
100,1988-09-30,30,24 HOUR,81102
101,1988-10-06,7,24 HOUR,81102
102,1988-10-12,28,24 HOUR,81102
103,1988-10-18,19,24 HOUR,81102
104,1988-10-30,29,24 HOUR,81102
105,1988-11-05,38,24 HOUR,81102
106,1988-11-11,15,24 HOUR,81102
107,1988-11-17,28,24 HOUR,81102
108,1988-11-23,28,24 HOUR,81102
109,1988-11-29,23,24 HOUR,81102
110,1988-12-05,40,24 HOUR,81102
111,1988-12-11,19,24 HOUR,81102
112,1988-12-17,23,24 HOUR,81102
113,1988-12-23,37,24 HOUR,81102
114,1988-12-29,27,24 HOUR,81102
115,1989-02-21,24,24 HOUR,81102
116,1989-02-27,31,24 HOUR,81102
117,1989-03-05,55,24 HOUR,81102
118,1989-03-11,44,24 HOUR,81102
119,1989-03-17,60,24 HOUR,81102
120,1989-03-23,33,24 HOUR,81102
121,1989-03-29,37,24 HOUR,81102
122,1989-04-04,20,24 HOUR,81102
123,1989-04-10,16,24 HOUR,81102
124,1989-04-16,32,24 HOUR,81102
125,1989-04-22,51,24 HOUR,81102
126,1989-04-28,27,24 HOUR,81102
127,1989-05-04,18,24 HOUR,81102
128,1989-05-10,35,24 HOUR,81102
129,1989-05-22,17,24 HOUR,81102
130,1989-06-09,24,24 HOUR,81102
131,1989-06-15,24,24 HOUR,81102
132,1989-06-21,50,24 HOUR,81102
133,1989-07-03,29,24 HOUR,81102
134,1989-07-09,45,24 HOUR,81102
135,1989-07-15,19,24 HOUR,81102
136,1989-07-21,38,24 HOUR,81102
137,1989-07-27,24,24 HOUR,81102
138,1989-08-02,31,24 HOUR,81102
139,1989-08-08,32,24 HOUR,81102
140,1989-08-14,39,24 HOUR,81102
141,1989-08-20,19,24 HOUR,81102
142,1989-08-26,14,24 HOUR,81102
143,1989-09-01,29,24 HOUR,81102
144,1989-09-07,25,24 HOUR,81102
145,1989-09-13,4,24 HOUR,81102
146,1989-09-19,38,24 HOUR,81102
147,1989-09-25,40,24 HOUR,81102
148,1989-10-01,50,24 HOUR,81102
149,1989-10-07,26,24 HOUR,81102
150,1989-10-13,37,24 HOUR,81102
151,1989-10-25,25,24 HOUR,81102
152,1989-10-31,22,24 HOUR,81102
153,1989-11-06,17,24 HOUR,81102
154,1989-11-12,31,24 HOUR,81102
155,1989-11-18,18,24 HOUR,81102
156,1989-11-24,24,24 HOUR,81102
157,1989-11-30,45,24 HOUR,81102
158,1989-12-06,21,24 HOUR,81102
159,1989-12-12,19,24 HOUR,81102
160,1989-12-18,18,24 HOUR,81102
161,1989-12-24,16,24 HOUR,81102
162,1989-12-30,10,24 HOUR,81102
163,1989-09-25,37,24 HOUR,81102
164,1989-10-01,45,24 HOUR,81102
165,1989-10-07,15,24 HOUR,81102
166,1989-10-13,34,24 HOUR,81102
167,1989-10-19,50,24 HOUR,81102
168,1989-10-25,26,24 HOUR,81102
169,1989-10-31,19,24 HOUR,81102
170,1989-11-06,24,24 HOUR,81102
171,1989-11-12,30,24 HOUR,81102
172,1989-11-18,25,24 HOUR,81102
173,1989-11-24,24,24 HOUR,81102
174,1989-11-30,42,24 HOUR,81102
175,1989-12-06,14,24 HOUR,81102
176,1989-12-12,16,24 HOUR,81102
177,1989-12-18,19,24 HOUR,81102
178,1989-12-24,19,24 HOUR,81102
179,1989-12-30,11,24 HOUR,81102
180,1989-01-16,19,24 HOUR,81102
181,1989-01-22,15,24 HOUR,81102
182,1989-01-28,10,24 HOUR,81102
183,1989-02-09,21,24 HOUR,81102
184,1989-02-15,22,24 HOUR,81102
185,1989-02-21,29,24 HOUR,81102
186,1989-02-27,27,24 HOUR,81102
187,1989-03-05,56,24 HOUR,81102
188,1989-03-11,47,24 HOUR,81102
189,1989-03-17,62,24 HOUR,81102
190,1989-03-29,38,24 HOUR,81102
191,1989-04-04,27,24 HOUR,81102
192,1989-04-10,19,24 HOUR,81102
193,1989-04-16,31,24 HOUR,81102
194,1989-04-22,47,24 HOUR,81102
195,1989-04-28,24,24 HOUR,81102
196,1989-05-10,40,24 HOUR,81102
197,1989-05-16,19,24 HOUR,81102
198,1989-05-22,13,24 HOUR,81102
199,1989-06-03,16,24 HOUR,81102
200,1989-06-09,26,24 HOUR,81102
201,1989-06-15,33,24 HOUR,81102
202,1989-06-21,48,24 HOUR,81102
203,1989-06-27,21,24 HOUR,81102
204,1989-07-03,44,24 HOUR,81102
205,1989-07-09,47,24 HOUR,81102
206,1989-07-15,23,24 HOUR,81102
207,1989-07-21,40,24 HOUR,81102
208,1989-07-27,20,24 HOUR,81102
209,1989-08-02,29,24 HOUR,81102
210,1989-08-08,37,24 HOUR,81102
211,1989-08-14,43,24 HOUR,81102
212,1989-08-20,13,24 HOUR,81102
213,1989-08-26,22,24 HOUR,81102
214,1989-09-01,27,24 HOUR,81102
215,1989-09-07,24,24 HOUR,81102
216,1989-09-13,8,24 HOUR,81102
217,1989-09-19,39,24 HOUR,81102
218,1989-09-25,52,24 HOUR,81102
219,1989-10-01,48,24 HOUR,81102
220,1989-10-19,31,24 HOUR,81102
221,1989-10-25,21,24 HOUR,81102
222,1989-10-31,17,24 HOUR,81102
223,1989-11-06,22,24 HOUR,81102
224,1989-11-12,34,24 HOUR,81102
225,1989-11-18,19,24 HOUR,81102
226,1989-11-24,19,24 HOUR,81102
227,1989-11-30,35,24 HOUR,81102
228,1989-12-06,19,24 HOUR,81102
229,1989-12-12,15,24 HOUR,81102
230,1989-12-18,20,24 HOUR,81102
231,1989-12-24,11,24 HOUR,81102
232,1989-12-30,11,24 HOUR,81102
233,1989-01-04,37,24 HOUR,81102
234,1989-01-10,28,24 HOUR,81102
235,1989-01-16,34,24 HOUR,81102
236,1989-01-22,39,24 HOUR,81102
237,1989-01-28,15,24 HOUR,81102
238,1989-02-03,10,24 HOUR,81102
239,1989-02-09,31,24 HOUR,81102
240,1989-02-15,6,24 HOUR,81102
241,1989-02-21,24,24 HOUR,81102
242,1989-03-05,48,24 HOUR,81102
243,1989-03-11,41,24 HOUR,81102
244,1989-03-17,55,24 HOUR,81102
245,1989-03-23,31,24 HOUR,81102
246,1989-03-29,22,24 HOUR,81102
247,1989-04-04,19,24 HOUR,81102
248,1989-04-10,20,24 HOUR,81102
249,1989-04-16,41,24 HOUR,81102
250,1989-04-22,61,24 HOUR,81102
251,1989-04-28,26,24 HOUR,81102
252,1989-05-04,22,24 HOUR,81102
253,1989-05-16,15,24 HOUR,81102
254,1989-05-22,13,24 HOUR,81102
255,1989-06-03,13,24 HOUR,81102
256,1989-06-09,13,24 HOUR,81102
257,1989-06-15,21,24 HOUR,81102
258,1989-06-21,54,24 HOUR,81102
259,1989-07-03,28,24 HOUR,81102
260,1989-07-09,45,24 HOUR,81102
261,1989-07-15,21,24 HOUR,81102
262,1989-07-27,45,24 HOUR,81102
263,1989-08-08,28,24 HOUR,81102
264,1989-08-20,10,24 HOUR,81102
265,1989-08-26,25,24 HOUR,81102
266,1989-09-01,26,24 HOUR,81102
267,1989-09-07,34,24 HOUR,81102
268,1989-09-13,4,24 HOUR,81102
269,1989-09-19,38,24 HOUR,81102
270,1989-09-25,44,24 HOUR,81102
271,1989-10-01,56,24 HOUR,81102
272,1989-10-07,24,24 HOUR,81102
273,1989-10-13,42,24 HOUR,81102
274,1989-10-19,31,24 HOUR,81102
275,1989-10-31,23,24 HOUR,81102
276,1989-11-06,19,24 HOUR,81102
277,1989-11-12,36,24 HOUR,81102
278,1989-11-18,21,24 HOUR,81102
279,1989-11-24,28,24 HOUR,81102
280,1989-11-30,53,24 HOUR,81102
281,1989-12-06,13,24 HOUR,81102
282,1989-12-12,21,24 HOUR,81102
283,1989-12-18,14,24 HOUR,81102
284,1989-12-24,10,24 HOUR,81102
285,1989-12-30,6,24 HOUR,81102
286,1990-01-05,20,24 HOUR,81102
287,1990-01-11,14,24 HOUR,81102
288,1990-01-17,22,24 HOUR,81102
289,1990-01-23,15,24 HOUR,81102
290,1990-01-29,24,24 HOUR,81102
291,1990-02-04,15,24 HOUR,81102
292,1990-02-16,25,24 HOUR,81102
293,1990-02-22,15,24 HOUR,81102
294,1990-02-28,19,24 HOUR,81102
295,1990-03-06,18,24 HOUR,81102
296,1990-03-12,28,24 HOUR,81102
297,1990-03-18,12,24 HOUR,81102
298,1990-03-24,17,24 HOUR,81102
299,1990-03-30,19,24 HOUR,81102
300,1990-04-11,20,24 HOUR,81102
301,1990-04-17,21,24 HOUR,81102
302,1990-04-23,23,24 HOUR,81102
303,1990-04-29,17,24 HOUR,81102
304,1990-05-05,24,24 HOUR,81102
305,1990-05-11,21,24 HOUR,81102
306,1990-05-17,25,24 HOUR,81102
307,1990-05-23,32,24 HOUR,81102
308,1990-05-29,27,24 HOUR,81102
309,1990-06-04,25,24 HOUR,81102
310,1990-06-10,21,24 HOUR,81102
311,1990-06-16,32,24 HOUR,81102
312,1990-06-22,25,24 HOUR,81102
313,1990-06-28,44,24 HOUR,81102
314,1990-07-04,46,24 HOUR,81102
315,1990-07-10,56,24 HOUR,81102
316,1990-07-16,31,24 HOUR,81102
317,1990-07-22,19,24 HOUR,81102
318,1990-07-28,18,24 HOUR,81102
319,1990-08-03,19,24 HOUR,81102
320,1990-08-09,36,24 HOUR,81102
321,1990-08-15,25,24 HOUR,81102
322,1990-08-21,38,24 HOUR,81102
323,1990-08-27,44,24 HOUR,81102
324,1990-09-02,44,24 HOUR,81102
325,1990-09-08,32,24 HOUR,81102
326,1990-09-14,55,24 HOUR,81102
327,1990-09-20,13,24 HOUR,81102
328,1990-09-26,36,24 HOUR,81102
329,1990-10-02,35,24 HOUR,81102
330,1990-10-08,11,24 HOUR,81102
331,1990-10-14,26,24 HOUR,81102
332,1990-10-20,20,24 HOUR,81102
333,1990-10-26,29,24 HOUR,81102
334,1990-11-01,31,24 HOUR,81102
335,1990-11-07,13,24 HOUR,81102
336,1990-11-13,19,24 HOUR,81102
337,1990-11-19,29,24 HOUR,81102
338,1990-11-25,20,24 HOUR,81102
339,1990-12-01,18,24 HOUR,81102
340,1990-12-07,42,24 HOUR,81102
341,1990-12-13,16,24 HOUR,81102
342,1990-12-19,15,24 HOUR,81102
343,1990-12-25,12,24 HOUR,81102
344,1990-01-05,14,24 HOUR,81102
345,1990-01-11,10,24 HOUR,81102
346,1990-01-17,20,24 HOUR,81102
347,1990-01-23,13,24 HOUR,81102
348,1990-01-29,18,24 HOUR,81102
349,1990-02-04,12,24 HOUR,81102
350,1990-02-10,26,24 HOUR,81102
351,1990-02-16,23,24 HOUR,81102
352,1990-02-22,19,24 HOUR,81102
353,1990-02-28,18,24 HOUR,81102
354,1990-03-06,17,24 HOUR,81102
355,1990-03-12,24,24 HOUR,81102
356,1990-03-18,12,24 HOUR,81102
357,1990-03-24,18,24 HOUR,81102
358,1990-03-30,27,24 HOUR,81102
359,1990-04-05,13,24 HOUR,81102
360,1990-04-11,22,24 HOUR,81102
361,1990-04-17,24,24 HOUR,81102
362,1990-04-23,27,24 HOUR,81102
363,1990-05-05,26,24 HOUR,81102
364,1990-05-11,19,24 HOUR,81102
365,1990-05-23,34,24 HOUR,81102
366,1990-05-29,25,24 HOUR,81102
367,1990-06-04,24,24 HOUR,81102
368,1990-06-10,19,24 HOUR,81102
369,1990-06-16,30,24 HOUR,81102
370,1990-06-22,23,24 HOUR,81102
371,1990-06-28,39,24 HOUR,81102
372,1990-07-04,43,24 HOUR,81102
373,1990-07-10,54,24 HOUR,81102
374,1990-07-16,26,24 HOUR,81102
375,1990-07-22,15,24 HOUR,81102
376,1990-07-28,13,24 HOUR,81102
377,1990-08-03,20,24 HOUR,81102
378,1990-08-09,36,24 HOUR,81102
379,1990-08-15,22,24 HOUR,81102
380,1990-08-21,23,24 HOUR,81102
381,1990-08-27,42,24 HOUR,81102
382,1990-09-02,47,24 HOUR,81102
383,1990-09-08,28,24 HOUR,81102
384,1990-09-14,44,24 HOUR,81102
385,1990-09-20,17,24 HOUR,81102
386,1990-09-26,38,24 HOUR,81102
387,1990-10-02,31,24 HOUR,81102
388,1990-10-08,12,24 HOUR,81102
389,1990-10-14,19,24 HOUR,81102
390,1990-10-20,17,24 HOUR,81102
391,1990-10-26,23,24 HOUR,81102
392,1990-11-01,30,24 HOUR,81102
393,1990-11-07,15,24 HOUR,81102
394,1990-11-13,12,24 HOUR,81102
395,1990-11-19,21,24 HOUR,81102
396,1990-11-25,28,24 HOUR,81102
397,1990-12-01,14,24 HOUR,81102
398,1990-12-07,31,24 HOUR,81102
399,1990-12-13,15,24 HOUR,81102
400,1990-12-19,14,24 HOUR,81102
401,1990-12-25,23,24 HOUR,81102
